Units Reference,Unit Name,Tenant Name,Property Name,Property Address,Lease Start Date,Lease End Date,Lease Years,Next Rent Review,Current Rent,Unit type
14173/001,"Baileys Towers, Bailey Lane ",CTIL (Vodafone/O2/T Mobile) Cornerstone Telecommunications Infrastructure Ltd,Bailey Lane,LS14 6PY,31-Mar-15,n/a,0,31-Mar-20,15000,Antenna
14173/003,Baileys Towers Bailey Lane,The Office of Communications (Ofcom),Bailey Lane,LS14 6PY,14-Jan-11,13-Jan-14,3,n/a,996,Antenna
14017/002,Barncroft Court ,CTIL (Vodafone/O2/T Mobile) Cornerstone Telecommunications Infrastructure Ltd,Barncroft Court,LS14 1HT,31-Mar-15,n/a,0,31-Mar-20,15000,Antenna
14170/001,Barncroft Grange Site ,CTIL (Vodafone/O2/T Mobile) Cornerstone Telecommunications Infrastructure Ltd,Barncroft Grange,LS14 1HS,31-Mar-15,n/a,0,31-Mar-20,17000,Antenna
14170/003,Barncroft Grange,Internexus Networks Ltd,Barncroft Grange ,LS14 1HS,08-Feb-18,07-Feb-28,10,08-Feb-21,5000,Tele Comm
14021/002,Barncroft Towers ,Everything Everywhere Ltd & Hutchinson 3G UK (MBNL),Barncroft Towers,LS14 1HR,01-Aug-09,31-Jul-19,10,01-Aug-15,14730.08,Antenna
16124/001,Beevers Court,M24 (Seven) Metronet UK Ltd,Beevers Court,LS16 6NX,12-Aug-10,11-Aug-20,10,12-Aug-16,13572.16,Antenna
09281/001,Brignall Croft,Internexus Networks Ltd,Brignall Croft,LS9 7EX,13-Aug-15,12-Aug-25,10,13-Aug-18,3500,Tele Comm
12188/001,Burnsall Gardens ,CTIL (Vodafone/O2/T Mobile) Cornerstone Telecommunications Infrastructure Ltd,Burnsall Gardens,LS12 3NY,31-Mar-15,n/a,0,31-Mar-20,17000,Antenna
12191/001,Burnsall Grange,CTIL (Vodafone/O2/T Mobile) Cornerstone Telecommunications Infrastructure Ltd,Burnsall Grange,LS12 3LG,26-Jul-07,25-Jul-32,25,25-Jul-12,12000,Antenna
12183/001,Burnsall Grange ,Everything Everywhere Ltd & Hutchinson 3G UK (MBNL),Burnsall Grange,LS12 3lLQ,29-Apr-08,28-Apr-18,10,29-Apr-13,12750,Antenna
06094/001,Clayton Court ,CTIL (Vodafone/O2/T Mobile) Cornerstone Telecommunications Infrastructure Ltd,Clayton Court ,LS16 5EH,31-Mar-15,30-Mar-30,15,31-Mar-20,15000,Antenna
18080/001,Clayton Court,Everything Everywhere Ltd & Hutchinson 3G UK (MBNL),Clayton Court ,LS16 5EH,01-Aug-09,31-Jul-19,10,01-Aug-15,15296.63,Antenna
18080/003,Clayton Court,M24 (Seven) Metronet UK Ltd,Clayton Court ,LS16 5EH,12-Aug-10,11-Aug-20,10,12-Aug-13,4000,Antenna
12034/002,Clyde Court,Telcom Networks Ltd,Clyde Court,LS12 1XW,23-Feb-16,22-Feb-26,10,23-Feb-19,0,Tele Comm
12035/002,Clyde Grange,Internexus Networks Ltd,Clyde Grange,LS12 1XP,13-Aug-15,12-Aug-25,10,13-Aug-18,3500,Tele Comm
1235/001,Clyde Grange,CCTV,,LS12 1XP,,,,,30,Tele Comm
12035/003,Clyde Grange,Virgin Media,Clyde Grange,LS12 1XP,24-Jun-16,n/a,0,n/a,0,Tele Comm
